报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长,是否通过
40102,飞县,男,有相关经验,非全日制,专科,历史学,<1,10-49,非政府组织,>4,132,否
4473,鑫县,女,有相关经验,非全日制,专科,管理学,17,<10,私营公司,从未,91,否
72434,郑州县,男,无相关经验,非全日制,硕士,工程学,13,100-500,非政府组织,3,8,否
61504,潜江市,男,有相关经验,无,高中,其他,1,<10,私营公司,2,37,否
19531,南宁县,,无相关经验,全日制,硕士,经济学,10,10-49,早期创业公司,2,290,否
32442,杭州县,男,无相关经验,无,专科,理学,14,50-99,非政府组织,4,324,否
98622,北京县,女,无相关经验,非全日制,专科,艺术学,1,<10,融资创业公司,>4,271,否
69430,台北市,女,无相关经验,无,高中,管理学,3,100-500,私营公司,>4,247,否
38013,南京市,男,无相关经验,非全日制,硕士,医学,1,<10,私营公司,2,45,否
57785,拉萨县,男,有相关经验,全日制,专科,管理学,17,100-500,公共部门,1,190,否
43847,潮州市,,无相关经验,无,专科,工程学,15,10-49,早期创业公司,2,240,否
55305,艳县,,有相关经验,无,硕士,医学,10,50-99,其他,1,130,否
74410,丹市,女,无相关经验,无,硕士,其他,<1,10-49,其他,1,129,否
77724,想县,男,无相关经验,非全日制,专科,文学,20,10-49,早期创业公司,3,335,否
58709,琴市,,有相关经验,无,硕士,历史学,5,<10,公共部门,3,20,否
82771,兴城县,男,有相关经验,非全日制,高中,医学,19,10-49,公共部门,1,266,否
35339,西宁县,男,有相关经验,无,本科,工程学,20,10-49,早期创业公司,4,247,是
54136,秀芳县,,有相关经验,全日制,本科,艺术学,3,100-500,公共部门,4,44,否
28996,健市,女,有相关经验,全日制,高中,工程学,<1,10-49,早期创业公司,1,251,否
98968,南京市,男,无相关经验,全日制,本科,工程学,3,10-49,非政府组织,2,330,否
89783,桂兰县,,无相关经验,全日制,高中,教育学,17,100-500,公共部门,3,261,否
2108,佳县,女,无相关经验,非全日制,专科,教育学,1,10-49,其他,4,304,否
86442,华县,,有相关经验,全日制,本科,医学,7,100-500,早期创业公司,1,233,否
25898,乌鲁木齐市,男,有相关经验,非全日制,高中,文学,17,50-99,公共部门,3,302,否
44649,丽丽县,男,有相关经验,全日制,硕士,医学,7,50-99,公共部门,2,309,否
80736,鹏县,女,无相关经验,非全日制,高中,历史学,6,<10,其他,1,133,否
75352,长春市,女,无相关经验,非全日制,高中,医学,7,<10,私营公司,从未,277,否
21175,龙县,,有相关经验,无,高中,文学,1,<10,公共部门,3,122,否
1653,邯郸市,,有相关经验,全日制,本科,历史学,13,<10,公共部门,1,231,否
57546,刚县,女,无相关经验,非全日制,高中,工程学,1,10-49,早期创业公司,>4,9,否
77890,宁德市,女,无相关经验,无,高中,理学,18,10-49,非政府组织,2,156,否
14113,东莞市,,无相关经验,无,高中,文学,<1,10-49,公共部门,1,44,否
22999,玉市,男,无相关经验,全日制,高中,教育学,<1,50-99,其他,1,174,否
73676,梅县,男,有相关经验,全日制,硕士,理学,20,10-49,其他,4,203,是
37782,宜都县,男,无相关经验,无,硕士,理学,15,100-500,其他,1,216,否
16722,博县,男,无相关经验,全日制,硕士,历史学,14,10-49,私营公司,4,213,否
3746,亮县,男,有相关经验,全日制,高中,哲学,12,50-99,公共部门,>4,89,否
3093,畅市,,有相关经验,非全日制,硕士,文学,3,100-500,私营公司,1,149,否
30933,霞县,女,无相关经验,无,硕士,艺术学,13,10-49,融资创业公司,4,81,否
75121,娜市,,无相关经验,非全日制,硕士,工程学,2,<10,融资创业公司,1,73,否
4331,柳州市,,有相关经验,无,专科,其他,6,50-99,融资创业公司,从未,150,否
77570,台北县,,无相关经验,全日制,硕士,其他,18,<10,非政府组织,4,12,否
37593,海门县,女,有相关经验,全日制,本科,理学,11,100-500,非政府组织,3,122,是
44509,秀云县,男,无相关经验,全日制,硕士,艺术学,8,<10,融资创业公司,3,87,否
25341,荆门县,男,有相关经验,非全日制,本科,文学,1,50-99,私营公司,>4,135,否
20151,桂芳县,女,无相关经验,全日制,专科,医学,12,10-49,早期创业公司,从未,180,否
77239,春梅市,女,有相关经验,全日制,专科,经济学,16,10-49,非政府组织,2,165,否
40893,哈尔滨县,,有相关经验,全日制,硕士,管理学,16,50-99,早期创业公司,3,229,否
29928,雷市,男,无相关经验,全日制,专科,无主修,2,100-500,私营公司,3,52,否
51228,兴城县,女,有相关经验,非全日制,硕士,文学,<1,50-99,非政府组织,3,224,否
11006,龙县,女,有相关经验,全日制,硕士,历史学,18,100-500,私营公司,>4,142,否
77562,红霞县,女,有相关经验,全日制,硕士,无主修,20,10-49,其他,4,310,否
56744,潮州市,男,有相关经验,非全日制,硕士,文学,>20,10-49,其他,2,187,否
8309,柳市,女,有相关经验,全日制,高中,无主修,10,<10,私营公司,4,144,否
61803,刚县,女,有相关经验,全日制,高中,无主修,16,100-500,公共部门,>4,283,否
93875,通辽县,,有相关经验,非全日制,硕士,经济学,2,<10,融资创业公司,3,54,否
16197,潜江县,男,有相关经验,非全日制,高中,艺术学,1,<10,融资创业公司,4,204,否
67384,磊县,,无相关经验,非全日制,本科,艺术学,>20,10-49,非政府组织,4,150,否
84708,浩市,男,无相关经验,全日制,硕士,经济学,17,50-99,非政府组织,>4,113,否
13026,西安市,男,无相关经验,无,本科,历史学,18,10-49,融资创业公司,从未,131,否
71359,北镇市,女,无相关经验,无,本科,工程学,17,50-99,早期创业公司,2,253,否
87510,济南县,女,无相关经验,非全日制,专科,经济学,2,50-99,非政府组织,>4,276,否
33937,莹县,男,无相关经验,无,硕士,其他,>20,50-99,融资创业公司,4,81,否
24291,晶县,,有相关经验,全日制,本科,工程学,19,100-500,融资创业公司,2,153,是
94755,燕市,,无相关经验,非全日制,专科,其他,4,100-500,早期创业公司,>4,35,否
39336,柳州市,女,无相关经验,无,专科,无主修,3,<10,私营公司,>4,286,否
68381,香港市,女,有相关经验,非全日制,本科,理学,4,<10,其他,4,17,是
23216,拉萨县,女,无相关经验,全日制,本科,教育学,15,100-500,公共部门,2,138,否
76142,柳州市,女,有相关经验,无,硕士,工程学,12,100-500,公共部门,3,101,是
70311,春梅县,女,无相关经验,无,高中,哲学,17,10-49,早期创业公司,4,154,否
42142,巢湖市,男,有相关经验,全日制,高中,历史学,2,100-500,公共部门,从未,170,否
19513,马鞍山市,女,有相关经验,无,专科,医学,>20,50-99,融资创业公司,>4,160,否
82898,乌鲁木齐县,,无相关经验,非全日制,硕士,经济学,11,10-49,融资创业公司,>4,266,否
45487,芳市,,无相关经验,无,专科,文学,12,50-99,其他,>4,238,否
91368,红梅县,女,无相关经验,全日制,专科,教育学,14,<10,非政府组织,从未,214,否
66263,成都市,男,有相关经验,非全日制,硕士,文学,16,50-99,公共部门,从未,334,否
88139,长沙县,男,无相关经验,全日制,高中,其他,11,50-99,融资创业公司,1,128,否
77175,凯市,,无相关经验,无,本科,经济学,3,100-500,其他,1,61,否
9629,潜江县,男,有相关经验,非全日制,本科,哲学,15,50-99,公共部门,从未,295,否
66720,永安市,,无相关经验,无,高中,历史学,1,10-49,融资创业公司,从未,236,否
96692,呼和浩特县,男,有相关经验,无,专科,历史学,11,<10,非政府组织,2,220,否
67412,济南县,女,无相关经验,全日制,高中,医学,3,10-49,私营公司,1,54,否
30592,沈阳县,女,无相关经验,全日制,高中,经济学,6,100-500,公共部门,1,223,否
14857,建市,女,有相关经验,无,专科,理学,10,10-49,公共部门,4,215,否
19326,郑州市,女,无相关经验,非全日制,硕士,经济学,9,10-49,早期创业公司,2,306,否
80695,济南市,,无相关经验,非全日制,硕士,理学,15,50-99,早期创业公司,4,77,否
740,丹县,女,有相关经验,无,高中,其他,1,100-500,公共部门,4,180,否
90769,桂珍市,女,无相关经验,非全日制,硕士,哲学,12,100-500,私营公司,3,5,否
16129,齐齐哈尔县,男,无相关经验,全日制,专科,教育学,>20,50-99,早期创业公司,2,326,否
82463,旭市,女,无相关经验,无,专科,工程学,7,50-99,融资创业公司,3,60,否
80910,银川市,男,有相关经验,非全日制,硕士,无主修,3,50-99,公共部门,4,260,否
33395,太原县,女,有相关经验,全日制,本科,文学,<1,10-49,融资创业公司,3,290,否
14680,春梅市,,无相关经验,非全日制,高中,无主修,1,100-500,早期创业公司,3,127,否
87886,宜都县,男,无相关经验,无,高中,其他,16,100-500,私营公司,4,292,否
92458,雷市,女,有相关经验,非全日制,本科,管理学,6,100-500,早期创业公司,3,254,否
2879,昆明市,男,有相关经验,非全日制,硕士,经济学,15,<10,早期创业公司,3,320,否
6499,惠州市,,有相关经验,非全日制,本科,理学,10,<10,非政府组织,>4,106,是
49422,南宁市,女,无相关经验,无,高中,无主修,16,10-49,融资创业公司,从未,325,否
59557,佳市,男,无相关经验,无,硕士,工程学,>20,<10,私营公司,从未,286,否
87864,广州市,女,有相关经验,非全日制,高中,管理学,14,<10,融资创业公司,2,226,否
71164,金凤县,女,有相关经验,全日制,高中,工程学,15,10-49,私营公司,从未,242,否
35212,璐市,男,有相关经验,全日制,高中,工程学,15,100-500,融资创业公司,从未,278,否
27301,健县,男,无相关经验,非全日制,本科,管理学,18,10-49,非政府组织,3,282,否
52933,鹏县,女,无相关经验,非全日制,本科,医学,20,100-500,公共部门,4,293,否
18824,杭州市,女,无相关经验,全日制,专科,理学,12,10-49,其他,4,35,否
41414,建县,女,有相关经验,非全日制,专科,哲学,11,<10,融资创业公司,2,48,否
59907,沈阳县,女,有相关经验,全日制,硕士,无主修,6,<10,非政府组织,从未,224,否
30971,沈阳县,,有相关经验,全日制,专科,历史学,12,10-49,公共部门,>4,137,否
97247,博市,男,有相关经验,非全日制,高中,历史学,1,10-49,非政府组织,>4,200,否
82572,莉市,,无相关经验,无,本科,历史学,15,10-49,私营公司,2,179,否
3088,桂香县,,无相关经验,无,硕士,哲学,8,50-99,其他,从未,115,否
65833,倩市,,有相关经验,非全日制,硕士,文学,19,100-500,私营公司,从未,95,否
30228,凤英县,男,有相关经验,非全日制,硕士,哲学,18,10-49,私营公司,4,323,否
84536,磊市,男,有相关经验,非全日制,高中,医学,10,<10,早期创业公司,3,259,否
74726,兴城县,女,有相关经验,全日制,硕士,医学,19,<10,公共部门,>4,93,否
10967,宁德市,,有相关经验,全日制,硕士,管理学,4,100-500,公共部门,3,94,否
40108,伟县,女,无相关经验,非全日制,硕士,经济学,10,<10,融资创业公司,2,231,否
61748,石家庄市,女,有相关经验,非全日制,本科,无主修,5,100-500,非政府组织,2,34,否
22607,太原县,,无相关经验,全日制,本科,管理学,<1,50-99,私营公司,2,81,否
97180,马鞍山县,男,无相关经验,无,高中,教育学,7,10-49,其他,2,114,否
10545,倩县,,无相关经验,无,硕士,其他,5,50-99,私营公司,4,81,否
38063,阳市,,有相关经验,非全日制,专科,理学,11,100-500,公共部门,2,66,否
92163,琳市,男,有相关经验,全日制,本科,工程学,8,100-500,公共部门,1,136,是
12975,南昌县,,有相关经验,全日制,高中,教育学,19,<10,其他,>4,321,否
70976,凤英县,女,有相关经验,全日制,高中,哲学,4,50-99,公共部门,2,274,否
80156,娟县,女,有相关经验,非全日制,高中,医学,15,50-99,私营公司,>4,295,否
57292,银川市,男,无相关经验,非全日制,高中,其他,8,100-500,融资创业公司,1,288,否
86536,勇市,男,有相关经验,非全日制,高中,艺术学,20,10-49,非政府组织,4,176,否
39109,东莞市,男,有相关经验,全日制,专科,其他,12,<10,非政府组织,4,220,否
91858,长沙县,女,有相关经验,无,硕士,教育学,6,50-99,融资创业公司,>4,63,否
20158,峰市,女,无相关经验,无,高中,哲学,17,<10,非政府组织,4,250,否
41461,郑州县,,有相关经验,非全日制,高中,其他,8,10-49,公共部门,2,214,否
42729,瑞市,男,有相关经验,全日制,高中,教育学,15,10-49,其他,从未,126,否
60841,军县,女,有相关经验,无,专科,工程学,7,10-49,非政府组织,>4,222,否
70665,飞市,,有相关经验,非全日制,本科,无主修,20,100-500,早期创业公司,3,73,否
83845,玲市,男,有相关经验,全日制,专科,经济学,6,50-99,融资创业公司,2,86,否
36859,深圳县,,无相关经验,全日制,本科,历史学,8,50-99,非政府组织,从未,311,否
68959,关岭市,男,有相关经验,非全日制,硕士,无主修,8,100-500,私营公司,>4,217,否
44698,张家港市,女,无相关经验,无,专科,教育学,7,50-99,私营公司,1,270,否
73160,坤市,男,无相关经验,全日制,硕士,哲学,18,10-49,早期创业公司,>4,231,否
7206,齐齐哈尔市,,无相关经验,无,本科,文学,<1,100-500,融资创业公司,2,76,否
54085,广州市,男,有相关经验,非全日制,专科,其他,9,<10,私营公司,3,304,否
50240,利市,,有相关经验,非全日制,本科,无主修,15,10-49,其他,>4,259,否
6038,淑华县,男,有相关经验,无,专科,历史学,16,<10,公共部门,1,31,否
7247,六盘水市,男,有相关经验,无,本科,教育学,<1,50-99,私营公司,2,114,否
26949,瑞县,女,有相关经验,非全日制,专科,其他,>20,<10,早期创业公司,2,189,否
82033,健县,,无相关经验,非全日制,硕士,经济学,>20,50-99,非政府组织,1,44,否
41791,东莞市,女,有相关经验,非全日制,高中,艺术学,1,50-99,其他,1,228,否
12295,南昌县,女,无相关经验,无,专科,理学,1,50-99,早期创业公司,1,14,否
41999,桂兰市,,无相关经验,非全日制,本科,哲学,10,<10,早期创业公司,2,188,否
39927,丽丽县,男,无相关经验,非全日制,硕士,教育学,20,100-500,早期创业公司,2,4,否
94385,长春县,男,无相关经验,全日制,本科,哲学,20,10-49,非政府组织,4,170,否
47374,合肥县,,无相关经验,无,专科,历史学,10,10-49,早期创业公司,3,97,否
85749,齐齐哈尔县,男,无相关经验,全日制,硕士,历史学,16,<10,融资创业公司,1,81,否
52951,慧市,,有相关经验,全日制,专科,文学,11,<10,私营公司,从未,205,否
20975,北京市,女,无相关经验,非全日制,硕士,工程学,14,100-500,融资创业公司,1,146,否
56370,杨市,女,无相关经验,非全日制,高中,理学,11,<10,非政府组织,3,262,否
25723,通辽市,女,有相关经验,全日制,专科,管理学,16,<10,融资创业公司,>4,131,否
86718,亮市,女,无相关经验,无,专科,其他,11,10-49,私营公司,从未,248,否
13342,乌鲁木齐市,女,有相关经验,无,硕士,其他,15,10-49,早期创业公司,2,123,否
1525,呼和浩特市,,无相关经验,无,硕士,艺术学,15,50-99,非政府组织,从未,336,否
11161,华市,男,无相关经验,非全日制,专科,教育学,9,10-49,公共部门,1,314,否
9198,成都市,女,无相关经验,全日制,硕士,医学,17,50-99,融资创业公司,从未,277,否
22162,欣市,女,有相关经验,全日制,本科,医学,18,<10,其他,从未,161,否
56222,宁县,,无相关经验,无,高中,医学,16,50-99,其他,2,284,否
98150,东县,男,无相关经验,无,高中,医学,20,50-99,早期创业公司,2,151,否
86568,飞县,男,无相关经验,全日制,本科,无主修,7,100-500,其他,3,50,否
82289,兵市,,无相关经验,全日制,硕士,其他,12,<10,融资创业公司,>4,302,否
82369,嘉禾县,女,无相关经验,非全日制,硕士,其他,9,<10,早期创业公司,从未,50,否
95256,南宁市,女,有相关经验,全日制,本科,历史学,20,100-500,公共部门,>4,169,否
8307,兴城县,女,无相关经验,非全日制,硕士,文学,15,<10,其他,1,254,否
43240,马鞍山市,女,无相关经验,无,本科,无主修,12,50-99,早期创业公司,4,15,否
88184,秀英市,男,有相关经验,全日制,本科,无主修,19,10-49,公共部门,>4,315,否
11438,斌县,男,无相关经验,全日制,本科,文学,4,<10,其他,1,58,否
47878,雪梅县,,有相关经验,无,专科,医学,5,50-99,公共部门,1,190,否
75829,玉珍市,,有相关经验,无,硕士,无主修,6,<10,公共部门,1,108,否
78552,秀华县,,有相关经验,无,专科,艺术学,6,50-99,早期创业公司,3,320,否
52863,辉县,男,无相关经验,非全日制,硕士,文学,2,10-49,融资创业公司,从未,63,否
25337,潜江县,,有相关经验,非全日制,本科,哲学,7,100-500,其他,3,108,否
31175,长沙县,女,有相关经验,无,专科,经济学,7,10-49,私营公司,从未,264,否
68272,娟市,,无相关经验,全日制,专科,教育学,5,<10,融资创业公司,1,308,否
40122,汕尾市,男,无相关经验,非全日制,高中,管理学,6,<10,公共部门,2,235,否
53082,洋县,男,无相关经验,全日制,专科,其他,8,100-500,早期创业公司,1,70,否
80342,马鞍山县,,无相关经验,非全日制,本科,无主修,3,10-49,早期创业公司,2,108,否
90590,秀华县,男,无相关经验,全日制,高中,教育学,12,10-49,非政府组织,>4,246,否
95703,太原县,女,无相关经验,无,高中,理学,11,50-99,非政府组织,从未,214,否
92475,楠市,男,无相关经验,非全日制,专科,教育学,13,100-500,其他,>4,33,否
22164,海门市,女,有相关经验,非全日制,高中,其他,7,<10,公共部门,2,280,否
76631,兴安盟县,,有相关经验,非全日制,本科,艺术学,3,10-49,早期创业公司,4,211,否
23987,秀云县,男,无相关经验,全日制,专科,经济学,11,<10,公共部门,1,14,否
44398,丹丹县,女,无相关经验,非全日制,本科,经济学,18,10-49,其他,1,317,否
91412,马鞍山市,女,无相关经验,全日制,硕士,医学,<1,100-500,公共部门,从未,129,否
1182,阜新县,男,有相关经验,非全日制,高中,其他,2,10-49,其他,从未,92,否
55175,太原市,,无相关经验,非全日制,本科,其他,3,50-99,其他,4,207,否
72468,琴市,男,无相关经验,全日制,本科,理学,4,<10,融资创业公司,4,290,否
13946,建国县,男,无相关经验,全日制,本科,哲学,4,10-49,融资创业公司,4,192,否
1145,红市,,有相关经验,全日制,本科,哲学,10,10-49,早期创业公司,2,288,否
48203,通辽县,男,有相关经验,无,本科,哲学,11,<10,私营公司,1,240,否
89837,梅县,男,无相关经验,无,硕士,哲学,4,<10,公共部门,从未,108,否
64025,玉英市,男,无相关经验,无,专科,其他,5,50-99,私营公司,>4,144,否
54738,西安县,,无相关经验,非全日制,高中,管理学,17,50-99,非政府组织,2,43,否
89472,浩市,男,有相关经验,全日制,硕士,无主修,17,<10,私营公司,从未,127,否
98756,阜新县,,无相关经验,非全日制,高中,理学,11,<10,融资创业公司,4,189,否
76037,颖县,女,有相关经验,全日制,专科,哲学,14,50-99,非政府组织,3,187,否
53791,海口县,女,有相关经验,全日制,硕士,管理学,>20,<10,非政府组织,从未,182,否
24927,贵阳市,男,有相关经验,非全日制,高中,艺术学,20,<10,早期创业公司,3,323,否
6485,海门县,女,无相关经验,非全日制,高中,历史学,17,50-99,早期创业公司,4,318,否
27401,小红县,男,无相关经验,全日制,硕士,艺术学,7,50-99,私营公司,从未,56,否
5725,邯郸市,,有相关经验,全日制,硕士,理学,2,<10,其他,3,178,是
46384,合山市,女,无相关经验,全日制,本科,理学,20,100-500,早期创业公司,2,316,否
75791,福州县,男,无相关经验,非全日制,高中,历史学,12,100-500,非政府组织,3,132,否
40142,红梅县,女,有相关经验,全日制,硕士,艺术学,6,10-49,非政府组织,1,298,否
41467,杭州市,男,无相关经验,非全日制,本科,哲学,20,<10,其他,从未,286,否
42343,马鞍山市,男,无相关经验,非全日制,专科,文学,15,100-500,早期创业公司,3,178,否
91570,慧市,女,无相关经验,全日制,本科,医学,14,100-500,融资创业公司,2,112,否
12259,桂荣市,女,无相关经验,全日制,硕士,理学,15,<10,非政府组织,3,201,否
39884,海口县,女,无相关经验,无,专科,理学,9,10-49,早期创业公司,4,52,否
95061,建县,,无相关经验,非全日制,专科,教育学,<1,10-49,早期创业公司,2,326,否
38694,静市,男,有相关经验,全日制,高中,工程学,19,<10,其他,从未,183,否
753,辛集市,女,有相关经验,无,专科,理学,9,<10,非政府组织,1,2,否
81020,小红市,男,有相关经验,全日制,本科,无主修,1,<10,公共部门,3,84,否
88098,西安县,,有相关经验,非全日制,高中,经济学,14,10-49,早期创业公司,从未,84,否
99225,俊县,男,无相关经验,全日制,本科,工程学,20,<10,非政府组织,1,333,否
60193,永安市,女,有相关经验,全日制,硕士,其他,8,10-49,早期创业公司,1,208,否
55604,淑兰市,女,有相关经验,全日制,专科,历史学,6,<10,融资创业公司,4,129,否
22279,北京市,男,无相关经验,无,硕士,艺术学,9,50-99,私营公司,从未,141,否
28197,淑珍县,男,无相关经验,非全日制,高中,医学,10,50-99,非政府组织,从未,215,否
42182,冬梅市,女,无相关经验,无,本科,哲学,16,100-500,早期创业公司,>4,262,否
16437,潮州市,,无相关经验,全日制,高中,工程学,15,100-500,非政府组织,4,253,否
99947,丽华县,女,有相关经验,无,硕士,哲学,6,50-99,其他,3,118,否
68747,沈阳市,女,无相关经验,非全日制,高中,文学,20,50-99,非政府组织,3,101,否
44025,澳门市,男,有相关经验,无,本科,管理学,>20,100-500,私营公司,从未,36,否
83321,深圳市,,无相关经验,非全日制,硕士,经济学,20,10-49,融资创业公司,2,169,否
22927,畅县,,有相关经验,全日制,高中,其他,14,<10,早期创业公司,2,252,否
44288,颖县,男,无相关经验,非全日制,硕士,医学,12,100-500,早期创业公司,从未,91,否
12762,雪梅市,,无相关经验,全日制,本科,管理学,18,100-500,私营公司,3,91,否
80870,海门县,女,无相关经验,无,硕士,医学,7,<10,其他,从未,210,否
94973,太原市,女,有相关经验,无,本科,经济学,2,<10,其他,3,275,否
82541,邯郸市,,有相关经验,无,硕士,历史学,20,100-500,私营公司,2,179,否
1634,利市,女,无相关经验,全日制,高中,教育学,17,50-99,公共部门,4,266,否
20194,杭州县,,有相关经验,非全日制,专科,教育学,7,100-500,非政府组织,>4,88,否
30673,昆明市,,无相关经验,全日制,高中,艺术学,20,<10,私营公司,4,179,否
26603,英县,,无相关经验,全日制,专科,理学,>20,<10,其他,4,319,否
94771,芳市,男,有相关经验,非全日制,高中,理学,15,50-99,非政府组织,4,179,否
95106,南京县,女,有相关经验,非全日制,高中,经济学,7,100-500,融资创业公司,>4,85,否
60063,红梅市,男,无相关经验,全日制,本科,教育学,7,10-49,早期创业公司,>4,169,否
27327,佳市,女,有相关经验,无,本科,其他,15,<10,早期创业公司,2,318,否
72875,柳州县,男,无相关经验,全日制,专科,工程学,18,100-500,公共部门,2,229,否
29051,太原县,女,有相关经验,非全日制,本科,教育学,4,50-99,融资创业公司,>4,40,否
36316,超县,男,无相关经验,非全日制,硕士,历史学,<1,100-500,非政府组织,1,155,否
9898,秀云市,男,有相关经验,全日制,本科,其他,6,100-500,其他,3,322,否
42025,英市,女,有相关经验,无,高中,经济学,2,50-99,非政府组织,1,196,否
99880,浩县,,有相关经验,全日制,专科,无主修,20,<10,其他,从未,146,否
46712,梅县,,有相关经验,全日制,本科,哲学,17,100-500,非政府组织,1,261,否
74083,冬梅市,男,无相关经验,全日制,硕士,教育学,16,<10,融资创业公司,2,17,否
66666,齐齐哈尔市,,有相关经验,全日制,本科,无主修,9,50-99,公共部门,1,214,否
51334,莉市,男,有相关经验,非全日制,高中,理学,3,<10,其他,从未,118,否
29777,凯市,男,无相关经验,全日制,本科,教育学,19,<10,早期创业公司,>4,135,否
33850,汕尾县,女,无相关经验,非全日制,本科,理学,7,50-99,公共部门,4,125,否
91195,秀云县,男,无相关经验,无,本科,哲学,16,100-500,私营公司,2,71,否
55404,郑州县,男,无相关经验,无,本科,历史学,>20,<10,其他,从未,220,否
28918,桂芝市,,无相关经验,全日制,硕士,医学,6,50-99,早期创业公司,1,227,否
23534,晨县,女,无相关经验,全日制,本科,哲学,14,<10,私营公司,4,190,否
19206,汕尾市,男,有相关经验,全日制,本科,管理学,7,100-500,早期创业公司,4,1,否
22278,宜都市,女,无相关经验,全日制,专科,管理学,13,<10,融资创业公司,3,253,否
53922,秀华县,女,无相关经验,无,专科,医学,18,50-99,其他,1,210,否
98033,石家庄市,女,有相关经验,无,本科,无主修,9,50-99,其他,从未,288,否
96789,昆明市,女,有相关经验,无,高中,文学,5,10-49,公共部门,1,116,否
7120,杭州市,,无相关经验,非全日制,专科,理学,18,50-99,融资创业公司,从未,166,否
57948,想市,女,有相关经验,非全日制,本科,工程学,8,10-49,融资创业公司,4,285,是
6094,淑兰县,男,无相关经验,全日制,高中,艺术学,14,50-99,非政府组织,从未,57,否
76998,香港市,,有相关经验,无,高中,其他,7,50-99,融资创业公司,>4,200,否
77083,重庆县,男,有相关经验,非全日制,硕士,工程学,5,<10,公共部门,3,149,是
45919,平县,男,无相关经验,无,高中,历史学,4,10-49,私营公司,从未,327,否
84914,嘉禾县,,无相关经验,全日制,硕士,教育学,11,100-500,公共部门,>4,88,否
76788,嘉禾县,女,无相关经验,全日制,高中,工程学,4,100-500,其他,2,16,否
28409,波县,男,有相关经验,无,硕士,医学,19,<10,私营公司,4,100,否
68490,长沙县,,无相关经验,全日制,专科,经济学,8,<10,融资创业公司,1,120,否
49729,彬市,男,有相关经验,无,本科,理学,18,10-49,私营公司,3,45,是
65626,淑兰县,,无相关经验,无,硕士,历史学,8,<10,融资创业公司,3,245,否
97886,桂英市,男,无相关经验,无,高中,哲学,6,50-99,融资创业公司,>4,125,否
25178,淮安县,,无相关经验,非全日制,本科,哲学,8,50-99,非政府组织,3,137,否
96508,上海市,女,有相关经验,非全日制,专科,无主修,20,50-99,非政府组织,3,24,否
27206,琳县,男,无相关经验,无,硕士,艺术学,5,100-500,其他,>4,90,否
81753,荣县,女,无相关经验,全日制,专科,经济学,4,10-49,公共部门,1,129,否
46520,辛集市,女,有相关经验,非全日制,硕士,管理学,10,50-99,非政府组织,1,328,否
3249,辛集市,男,有相关经验,无,高中,艺术学,5,<10,公共部门,1,5,否
5562,辛集市,女,无相关经验,无,本科,艺术学,16,100-500,公共部门,从未,59,否
88272,兵市,,无相关经验,无,专科,其他,12,10-49,融资创业公司,从未,99,否
78416,齐齐哈尔市,男,无相关经验,无,硕士,无主修,9,<10,融资创业公司,>4,141,否
89672,北镇市,女,有相关经验,无,本科,文学,<1,10-49,非政府组织,3,259,否
38709,深圳市,女,无相关经验,非全日制,专科,其他,1,10-49,其他,2,120,否
