enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
24690,海南省,0.8270000000000001,,有相关经验,,硕士,理工科,,少于10人,,1年内,15,0.0
8433,河南省,0.887,男,有相关经验,未入学,硕士,人文学科,超过20年,100-500人,私营公司,超过4年,48,0.0
9572,吉林省,0.55,,无相关经验,全日制课程,高中,,,,,,98,0.0
5878,江西省,0.865,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,,142,1.0
25695,台湾省,0.855,其他,无相关经验,未入学,硕士,人文学科,,10000人以上,私营公司,,13,0.0
9645,宁夏回族自治区,0.91,男,有相关经验,未入学,本科,理工科,,,,超过4年,47,0.0
12730,辽宁省,0.91,女,有相关经验,未入学,硕士,人文学科,,500-999人,公共部门,1年内,28,0.0
4830,河南省,0.698,,无相关经验,,,,,,私营公司,从未,228,1.0
20970,台湾省,0.6659999999999999,男,有相关经验,未入学,本科,理工科,超过20年,,,,22,0.0
17271,江西省,0.624,男,无相关经验,全日制课程,本科,理工科,少于1年,,,从未,18,1.0
12731,吉林省,0.8270000000000001,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,1年内,29,0.0
10908,山东省,0.855,男,有相关经验,未入学,硕士,理工科,,100-500人,,1年内,46,0.0
29117,天津市,0.55,,无相关经验,全日制课程,本科,理工科,少于1年,,,从未,12,0.0
3686,北京市,0.92,,有相关经验,未入学,本科,理工科,,100-500人,私营公司,,17,0.0
22683,江西省,0.893,男,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,,65,0.0
22134,河南省,0.92,男,无相关经验,未入学,本科,人文学科,,100-500人,私营公司,1年内,35,0.0
31765,安徽省,0.855,男,无相关经验,全日制课程,本科,理工科,,10000人以上,私营公司,,14,0.0
31449,重庆市,0.92,女,有相关经验,未入学,硕士,理工科,,少于10人,初创公司,1年内,4,0.0
5987,新疆维吾尔自治区,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,12,0.0
21762,天津市,0.92,男,有相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,,108,0.0
22070,山西省,0.92,男,无相关经验,未入学,本科,理工科,超过20年,,,1年内,136,0.0
25413,浙江省,0.92,男,有相关经验,未入学,本科,理工科,,10-49人,,1年内,27,0.0
5902,澳门特别行政区,0.7959999999999999,,有相关经验,非全日制课程,硕士,理工科,,50-99人,融资创业公司,1年内,74,0.0
28403,浙江省,0.884,男,有相关经验,未入学,本科,理工科,,10-49人,初创公司,1年内,86,0.0
30937,云南省,0.866,女,无相关经验,非全日制课程,本科,理工科,少于1年,10-49人,私营公司,,83,0.0
28751,西藏自治区,0.92,,无相关经验,全日制课程,高中,,,,,,75,0.0
29290,辽宁省,0.698,男,无相关经验,全日制课程,硕士,理工科,,,公共部门,,42,0.0
32401,内蒙古自治区,0.92,女,有相关经验,未入学,本科,理工科,,100-500人,,1年内,332,0.0
19128,青海省,0.913,男,无相关经验,全日制课程,本科,理工科,,,,,140,0.0
29036,天津市,0.91,男,无相关经验,未入学,高中,,,,,从未,182,0.0
16869,黑龙江省,0.92,女,无相关经验,未入学,本科,人文学科,,100-500人,私营公司,1年内,13,1.0
10497,广东省,0.682,,有相关经验,未入学,本科,理工科,,10-49人,私营公司,,172,1.0
18099,河南省,0.92,,有相关经验,未入学,本科,理工科,,100-500人,非政府组织,1年内,48,0.0
12081,黑龙江省,0.802,男,有相关经验,全日制课程,本科,理工科,,50-99人,私营公司,1年内,33,0.0
7364,四川省,0.92,,无相关经验,全日制课程,高中,,,100-500人,私营公司,1年内,142,0.0
11184,海南省,0.579,,无相关经验,全日制课程,本科,理工科,,100-500人,私营公司,1年内,34,0.0
7016,重庆市,0.802,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,,14,1.0
8695,福建省,0.55,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,,27,1.0
6172,贵州省,0.55,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,24,1.0
14672,湖南省,0.878,,无相关经验,未入学,硕士,理工科,超过20年,,,1年内,150,0.0
18257,山西省,0.92,女,有相关经验,未入学,本科,理工科,,500-999人,非政府组织,超过4年,20,0.0
24493,山东省,0.92,,有相关经验,未入学,本科,理工科,,500-999人,,1年内,140,0.0
1180,山东省,0.91,男,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,1年内,52,0.0
28627,上海市,0.939,男,有相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,,160,0.0
8168,新疆维吾尔自治区,0.897,男,有相关经验,未入学,硕士,理工科,,5000-9999人,私营公司,,3,0.0
10473,辽宁省,0.624,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,,2,1.0
25349,北京市,0.91,男,有相关经验,未入学,本科,理工科,超过20年,1000-4999人,私营公司,超过4年,28,0.0
5220,内蒙古自治区,0.754,男,有相关经验,未入学,本科,其他,超过20年,,,,46,0.0
4789,青海省,0.855,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,210,0.0
11338,黑龙江省,0.926,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,1年内,36,0.0
27963,重庆市,0.949,男,无相关经验,全日制课程,本科,理工科,,,,1年内,160,1.0
8571,广东省,0.624,男,有相关经验,全日制课程,本科,理工科,,10-49人,非政府组织,,101,0.0
16303,宁夏回族自治区,0.926,男,有相关经验,未入学,硕士,理工科,,50-99人,,1年内,46,0.0
20576,四川省,0.925,男,有相关经验,未入学,本科,理工科,超过20年,1000-4999人,私营公司,超过4年,19,0.0
32966,西藏自治区,0.624,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,,26,1.0
21199,福建省,0.698,,有相关经验,全日制课程,本科,理工科,,少于10人,非政府组织,1年内,90,0.0
18819,福建省,0.8959999999999999,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,,59,0.0
14199,山东省,0.92,男,有相关经验,非全日制课程,本科,商学,,50-99人,融资创业公司,1年内,260,0.0
7666,青海省,0.624,女,有相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,74,0.0
13915,辽宁省,0.91,男,有相关经验,未入学,博士,理工科,超过20年,100-500人,私营公司,,20,1.0
10555,宁夏回族自治区,0.878,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,,8,0.0
16040,贵州省,0.92,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,131,0.0
32826,河南省,0.836,男,有相关经验,全日制课程,硕士,理工科,,,,1年内,45,0.0
13253,海南省,0.693,男,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,,109,0.0
15637,山西省,0.855,男,有相关经验,未入学,本科,人文学科,,100-500人,私营公司,1年内,70,0.0
28074,湖北省,0.92,女,有相关经验,未入学,本科,理工科,超过20年,100-500人,非政府组织,超过4年,17,0.0
23012,宁夏回族自治区,0.92,女,无相关经验,未入学,硕士,理工科,,50-99人,私营公司,1年内,51,0.0
16110,广西壮族自治区,0.92,女,有相关经验,未入学,本科,理工科,,50-99人,私营公司,,60,1.0
3921,天津市,0.893,,无相关经验,未入学,博士,理工科,超过20年,1000-4999人,公共部门,超过4年,4,0.0
24530,浙江省,0.926,男,无相关经验,未入学,本科,理工科,,100-500人,私营公司,超过4年,7,0.0
1924,山东省,0.804,,有相关经验,未入学,硕士,理工科,超过20年,100-500人,私营公司,,164,0.0
32776,新疆维吾尔自治区,0.6659999999999999,男,有相关经验,未入学,本科,理工科,,,,,290,0.0
1907,浙江省,0.804,男,无相关经验,未入学,高中,,,少于10人,非政府组织,从未,145,0.0
23947,河南省,0.92,,无相关经验,未入学,博士,理工科,,,,,70,0.0
3116,福建省,0.624,男,无相关经验,未入学,,,,,,1年内,24,0.0
24829,内蒙古自治区,0.92,男,无相关经验,未入学,硕士,人文学科,,10000人以上,私营公司,1年内,133,1.0
30488,山西省,0.55,,无相关经验,全日制课程,本科,理工科,,,,1年内,20,0.0
1265,重庆市,0.92,男,有相关经验,未入学,本科,理工科,,少于10人,融资创业公司,1年内,76,0.0
22098,新疆维吾尔自治区,0.698,女,无相关经验,全日制课程,硕士,理工科,,,,,21,1.0
13342,陕西省,0.624,女,有相关经验,未入学,本科,其他,,5000-9999人,私营公司,,34,0.0
24608,云南省,0.92,男,无相关经验,未入学,本科,理工科,,少于10人,私营公司,,15,0.0
20081,台湾省,0.866,男,无相关经验,未入学,本科,理工科,超过20年,,,超过4年,156,0.0
24796,福建省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,5000-9999人,私营公司,超过4年,15,0.0
7777,甘肃省,0.926,,有相关经验,未入学,硕士,理工科,超过20年,,,从未,120,0.0
22718,广东省,0.769,,有相关经验,未入学,本科,无专业,,10000人以上,,超过4年,47,0.0
1261,江西省,0.754,男,有相关经验,未入学,本科,理工科,,,,,100,1.0
3396,湖南省,0.855,男,有相关经验,非全日制课程,本科,理工科,,500-999人,私营公司,从未,102,0.0
4283,山东省,0.92,男,无相关经验,未入学,高中,,,,,从未,52,0.0
18998,新疆维吾尔自治区,0.926,,有相关经验,未入学,高中,,,10-49人,,,39,0.0
2003,北京市,0.92,男,有相关经验,全日制课程,高中,,,,,1年内,112,1.0
31786,天津市,0.92,男,无相关经验,未入学,博士,理工科,超过20年,50-99人,私营公司,超过4年,14,0.0
8241,上海市,0.91,,有相关经验,未入学,,,,,,1年内,4,0.0
12154,湖北省,0.91,,有相关经验,未入学,硕士,文学,超过20年,1000-4999人,非政府组织,超过4年,55,0.0
23455,浙江省,0.624,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,,49,1.0
19882,北京市,0.91,男,有相关经验,未入学,本科,理工科,,,,超过4年,72,0.0
28817,宁夏回族自治区,0.925,男,有相关经验,全日制课程,本科,理工科,,5000-9999人,私营公司,,141,1.0
4656,贵州省,0.926,男,无相关经验,未入学,高中,,,,私营公司,从未,28,0.0
7280,上海市,0.92,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,1年内,6,0.0
16903,重庆市,0.92,男,有相关经验,未入学,本科,无专业,,5000-9999人,私营公司,1年内,125,0.0
13333,山东省,0.939,,有相关经验,未入学,本科,理工科,超过20年,,,从未,326,0.0
26241,江苏省,0.92,男,有相关经验,未入学,本科,其他,超过20年,100-500人,私营公司,,33,0.0
12381,海南省,0.804,,无相关经验,未入学,硕士,理工科,,10000人以上,私营公司,超过4年,40,0.0
4064,江西省,0.92,,有相关经验,未入学,本科,理工科,,,,1年内,198,1.0
32092,新疆维吾尔自治区,0.92,女,有相关经验,未入学,硕士,理工科,,10000人以上,私营公司,超过4年,55,0.0
3766,福建省,0.698,男,无相关经验,未入学,本科,理工科,超过20年,500-999人,私营公司,超过4年,32,0.0
30496,安徽省,0.92,男,有相关经验,未入学,本科,文学,超过20年,100-500人,私营公司,超过4年,11,0.0
7189,广东省,0.754,男,有相关经验,未入学,本科,理工科,超过20年,少于10人,私营公司,1年内,41,0.0
29497,甘肃省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,10000人以上,公共部门,超过4年,87,1.0
31593,新疆维吾尔自治区,0.855,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,,114,0.0
12384,青海省,0.698,,有相关经验,,,,超过20年,,,超过4年,33,0.0
11986,湖南省,0.698,男,有相关经验,非全日制课程,硕士,理工科,,少于10人,初创公司,1年内,15,0.0
31033,香港特别行政区,0.91,,无相关经验,全日制课程,高中,,,,,1年内,8,0.0
14835,贵州省,0.878,女,有相关经验,非全日制课程,高中,,,100-500人,非政府组织,1年内,22,0.0
3728,安徽省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,5000-9999人,私营公司,,13,0.0
3024,四川省,0.949,男,有相关经验,未入学,本科,理工科,超过20年,少于10人,公共部门,1年内,246,0.0
23508,江苏省,0.92,男,有相关经验,未入学,硕士,理工科,,10-49人,私营公司,1年内,22,0.0
29457,四川省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,少于10人,融资创业公司,1年内,81,0.0
12297,重庆市,0.7759999999999999,,有相关经验,全日制课程,本科,理工科,,10-49人,融资创业公司,1年内,11,0.0
27708,四川省,0.698,男,无相关经验,全日制课程,本科,理工科,,5000-9999人,,,24,1.0
3065,浙江省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,融资创业公司,1年内,50,0.0
29226,重庆市,0.924,男,无相关经验,全日制课程,高中,,,,,从未,15,0.0
5493,澳门特别行政区,0.939,男,有相关经验,未入学,硕士,理工科,超过20年,10-49人,私营公司,超过4年,31,0.0
2891,北京市,0.926,男,有相关经验,未入学,硕士,理工科,超过20年,50-99人,私营公司,从未,84,0.0
32509,北京市,0.897,男,有相关经验,非全日制课程,本科,理工科,,10000人以上,私营公司,1年内,42,0.0
31841,山西省,0.624,,有相关经验,未入学,本科,理工科,,10-49人,私营公司,超过4年,105,1.0
907,四川省,0.92,女,有相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,超过4年,72,0.0
29526,四川省,0.789,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,超过4年,42,1.0
10956,重庆市,0.698,男,有相关经验,未入学,本科,理工科,,50-99人,初创公司,1年内,152,0.0
26099,新疆维吾尔自治区,0.92,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,1年内,60,0.0
26163,辽宁省,0.624,男,无相关经验,全日制课程,硕士,理工科,,,,从未,8,0.0
4120,辽宁省,0.91,男,无相关经验,全日制课程,硕士,理工科,,,,,17,1.0
7335,北京市,0.923,男,无相关经验,未入学,高中,,,,,1年内,33,0.0
706,辽宁省,0.91,男,有相关经验,未入学,硕士,理工科,,100-500人,融资创业公司,从未,38,0.0
9890,河北省,0.92,男,有相关经验,未入学,本科,人文学科,,少于10人,初创公司,,178,0.0
32683,新疆维吾尔自治区,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,11,0.0
27104,湖北省,0.893,男,有相关经验,未入学,高中,,超过20年,,,从未,87,0.0
7731,内蒙古自治区,0.802,男,有相关经验,未入学,本科,理工科,,,,从未,84,0.0
31943,澳门特别行政区,0.884,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,初创公司,,32,0.0
22899,黑龙江省,0.887,,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,1年内,31,1.0
33339,福建省,0.624,男,无相关经验,未入学,本科,理工科,,500-999人,公共部门,1年内,39,0.0
20866,河南省,0.775,,有相关经验,未入学,本科,理工科,,10-49人,私营公司,1年内,12,0.0
21634,重庆市,0.624,,有相关经验,全日制课程,本科,理工科,,10000人以上,私营公司,1年内,50,0.0
29529,福建省,0.903,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,55,1.0
4478,江西省,0.55,,有相关经验,未入学,本科,理工科,,50-99人,私营公司,,7,1.0
32095,台湾省,0.92,男,有相关经验,未入学,硕士,人文学科,,50-99人,初创公司,1年内,104,0.0
18272,贵州省,0.92,,有相关经验,全日制课程,本科,商学,超过20年,,,超过4年,90,1.0
30098,内蒙古自治区,0.92,男,有相关经验,未入学,硕士,其他,超过20年,100-500人,私营公司,超过4年,8,0.0
23825,四川省,0.624,男,无相关经验,全日制课程,本科,理工科,,,,从未,102,0.0
7672,云南省,0.624,,有相关经验,未入学,硕士,理工科,少于1年,10-49人,私营公司,1年内,202,1.0
5633,青海省,0.555,,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,22,0.0
30695,广西壮族自治区,0.624,男,无相关经验,全日制课程,本科,理工科,,,私营公司,从未,42,0.0
5573,安徽省,0.92,,无相关经验,未入学,小学,,,,私营公司,从未,50,0.0
24936,新疆维吾尔自治区,0.624,男,有相关经验,未入学,硕士,理工科,,50-99人,融资创业公司,1年内,88,0.0
397,山东省,0.754,,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,,81,0.0
31602,北京市,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,10000人以上,私营公司,1年内,7,0.0
5278,香港特别行政区,0.624,男,无相关经验,未入学,,,,,私营公司,从未,218,0.0
16814,广东省,0.91,男,有相关经验,未入学,本科,理工科,超过20年,10000人以上,私营公司,超过4年,62,0.0
19249,河南省,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,83,0.0
9475,北京市,0.939,男,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,超过4年,11,0.0
4865,吉林省,0.926,男,无相关经验,非全日制课程,博士,理工科,超过20年,50-99人,,超过4年,10,0.0
20881,吉林省,0.939,男,有相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,1年内,114,0.0
21563,河南省,0.624,,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,1年内,36,0.0
25114,四川省,0.804,,无相关经验,,硕士,理工科,,10-49人,私营公司,1年内,17,0.0
26002,内蒙古自治区,0.91,男,无相关经验,全日制课程,本科,理工科,,,,从未,80,1.0
8528,安徽省,0.92,男,有相关经验,非全日制课程,本科,理工科,超过20年,50-99人,公共部门,超过4年,108,0.0
6141,陕西省,0.92,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,,45,0.0
27667,青海省,0.92,男,无相关经验,全日制课程,本科,理工科,,,,从未,77,0.0
2821,安徽省,0.926,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,,8,0.0
21216,甘肃省,0.878,,无相关经验,未入学,本科,理工科,,,,1年内,28,0.0
25495,北京市,0.727,女,有相关经验,未入学,本科,理工科,,100-500人,融资创业公司,超过4年,37,0.0
20791,山西省,0.91,,无相关经验,全日制课程,本科,理工科,,,,,108,1.0
28015,浙江省,0.92,男,有相关经验,未入学,本科,理工科,,500-999人,私营公司,,162,0.0
10685,吉林省,0.754,,有相关经验,全日制课程,高中,,,,,超过4年,41,0.0
405,重庆市,0.903,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,,4,0.0
13891,江西省,0.884,女,无相关经验,未入学,博士,理工科,,1000-4999人,公共部门,1年内,41,0.0
33050,广西壮族自治区,0.903,,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,,12,0.0
399,宁夏回族自治区,0.92,男,有相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,1年内,190,0.0
8202,山西省,0.624,,有相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,29,1.0
8751,广西壮族自治区,0.92,男,有相关经验,未入学,本科,理工科,,100-500人,公共部门,1年内,11,0.0
20744,西藏自治区,0.92,男,无相关经验,全日制课程,高中,,,10000人以上,私营公司,1年内,30,0.0
25380,广东省,0.92,男,有相关经验,未入学,硕士,理工科,,100-500人,,超过4年,39,0.0
24617,海南省,0.804,男,有相关经验,全日制课程,高中,,,,,1年内,16,0.0
12509,宁夏回族自治区,0.926,男,无相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,超过4年,5,0.0
25473,海南省,0.698,男,无相关经验,全日制课程,高中,,,,,从未,39,0.0
13083,澳门特别行政区,0.926,男,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,超过4年,29,0.0
12454,浙江省,0.624,,有相关经验,全日制课程,硕士,理工科,,50-99人,非政府组织,,210,0.0
3500,河北省,0.92,其他,无相关经验,非全日制课程,高中,,,50-99人,融资创业公司,1年内,54,0.0
15922,内蒙古自治区,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,,44,0.0
6685,西藏自治区,0.91,男,有相关经验,未入学,本科,理工科,,,,超过4年,47,0.0
28838,广东省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,1000-4999人,非政府组织,超过4年,74,0.0
24082,青海省,0.624,男,有相关经验,未入学,硕士,理工科,,10-49人,私营公司,1年内,8,1.0
24846,广东省,0.624,,无相关经验,全日制课程,本科,理工科,,,,从未,20,1.0
1020,重庆市,0.92,男,有相关经验,未入学,本科,理工科,,500-999人,私营公司,1年内,162,0.0
6189,福建省,0.893,,无相关经验,未入学,本科,商学,,50-99人,私营公司,1年内,110,0.0
16994,浙江省,0.762,其他,有相关经验,非全日制课程,高中,,,10-49人,私营公司,1年内,262,0.0
13135,香港特别行政区,0.836,男,有相关经验,未入学,硕士,理工科,,,,1年内,6,0.0
14578,安徽省,0.6659999999999999,男,有相关经验,非全日制课程,本科,理工科,,10-49人,私营公司,1年内,19,1.0
20732,香港特别行政区,0.6659999999999999,其他,无相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,超过4年,23,1.0
16496,河北省,0.624,男,无相关经验,,本科,理工科,少于1年,,,1年内,107,1.0
16537,广西壮族自治区,0.897,男,有相关经验,未入学,硕士,理工科,,10000人以上,,超过4年,134,0.0
17358,贵州省,0.926,男,有相关经验,未入学,硕士,理工科,,10-49人,初创公司,1年内,40,0.0
21933,陕西省,0.884,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,11,0.0
7342,台湾省,0.92,男,有相关经验,未入学,本科,理工科,,,,,102,0.0
5630,吉林省,0.624,男,无相关经验,全日制课程,本科,理工科,,,,从未,100,0.0
24152,湖南省,0.923,男,无相关经验,未入学,硕士,理工科,,10000人以上,私营公司,从未,30,0.0
17762,宁夏回族自治区,0.92,,无相关经验,未入学,高中,,,,,1年内,20,1.0
4310,黑龙江省,0.92,,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,,4,0.0
5142,四川省,0.91,,无相关经验,未入学,小学,,,,,从未,15,0.0
22319,甘肃省,0.624,男,无相关经验,未入学,本科,理工科,少于1年,,,1年内,14,1.0
30912,辽宁省,0.923,男,无相关经验,未入学,小学,,,,私营公司,从未,103,0.0
