报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长
56849,佛山县,其他,无相关经验,无,硕士,无主修,17,100-500,公共部门,3,62
57723,嘉禾市,女,无相关经验,无,博士,医学,8,10-49,早期创业公司,2,102
92523,杭州市,其他,有相关经验,全日制,本科,经济学,5,1000-4999,公共部门,>4,178
95934,桂兰县,男,无相关经验,非全日制,高中,无主修,8,5000-9999,其他,>4,70
17876,汕尾县,其他,无相关经验,无,专科,教育学,17,10000+,其他,3,112
86078,娜县,其他,无相关经验,无,本科,经济学,7,1000-4999,私营公司,>4,167
25741,辽阳县,其他,有相关经验,无,硕士,哲学,15,5000-9999,私营公司,2,156
50224,东莞市,其他,有相关经验,非全日制,专科,无主修,17,1000-4999,非政府组织,>4,196
92750,石家庄市,其他,无相关经验,全日制,专科,文学,11,500-999,私营公司,2,72
13945,淑珍县,其他,无相关经验,非全日制,专科,其他,4,500-999,融资创业公司,2,283
3960,香港县,其他,无相关经验,全日制,本科,工程学,<1,5000-9999,早期创业公司,从未,47
79190,欢市,女,有相关经验,全日制,专科,医学,14,500-999,早期创业公司,4,306
11573,太原县,其他,有相关经验,全日制,博士,医学,2,1000-4999,私营公司,>4,195
20738,永安县,男,有相关经验,非全日制,专科,经济学,6,10-49,其他,2,298
37935,柳州市,男,有相关经验,无,本科,文学,<1,1000-4999,早期创业公司,1,326
27345,洁县,男,无相关经验,非全日制,高中,艺术学,9,1000-4999,私营公司,1,146
69339,志强县,其他,有相关经验,非全日制,本科,教育学,16,100-500,融资创业公司,>4,308
56737,昆明县,女,无相关经验,无,硕士,医学,8,50-99,私营公司,>4,88
19600,汕尾县,女,有相关经验,全日制,本科,医学,17,5000-9999,非政府组织,3,46
40658,太原县,其他,无相关经验,非全日制,本科,文学,9,500-999,早期创业公司,3,180
91488,华市,其他,有相关经验,无,专科,医学,20,1000-4999,早期创业公司,从未,111
40654,宁德县,其他,有相关经验,无,本科,经济学,13,50-99,公共部门,>4,168
92644,荣市,其他,无相关经验,全日制,本科,教育学,2,1000-4999,早期创业公司,1,307
45893,太原县,其他,无相关经验,无,硕士,哲学,17,5000-9999,早期创业公司,>4,114
28373,齐齐哈尔市,女,有相关经验,非全日制,硕士,其他,13,<10,融资创业公司,3,285
52973,重庆市,女,有相关经验,全日制,专科,管理学,13,1000-4999,早期创业公司,>4,292
6105,台北县,其他,无相关经验,无,专科,理学,14,5000-9999,私营公司,>4,297
34451,娟市,男,无相关经验,无,本科,管理学,>20,50-99,私营公司,3,96
15897,长春市,女,无相关经验,无,博士,教育学,20,50-99,非政府组织,1,105
1501,银川市,女,无相关经验,无,硕士,哲学,10,10000+,非政府组织,从未,331
15026,杭州市,男,有相关经验,非全日制,专科,无主修,16,100-500,公共部门,4,191
39208,柳州市,男,有相关经验,无,博士,历史学,5,500-999,其他,>4,248
556,佳市,女,无相关经验,全日制,专科,其他,20,100-500,私营公司,>4,226
85069,雪县,女,有相关经验,非全日制,高中,管理学,11,50-99,早期创业公司,从未,321
8082,红霞市,男,有相关经验,全日制,博士,艺术学,10,50-99,公共部门,4,12
29846,佛山市,男,有相关经验,非全日制,博士,医学,6,10-49,私营公司,>4,302
4572,齐齐哈尔县,男,有相关经验,全日制,专科,文学,10,10-49,公共部门,1,127
87594,福州县,男,无相关经验,全日制,高中,工程学,17,10-49,其他,3,167
18607,成都市,男,无相关经验,非全日制,高中,工程学,9,50-99,早期创业公司,>4,132
93175,六安市,女,有相关经验,非全日制,博士,无主修,6,50-99,其他,2,207
40777,澳门县,女,有相关经验,非全日制,专科,经济学,9,500-999,其他,>4,107
95965,波市,其他,有相关经验,全日制,本科,无主修,6,10-49,私营公司,从未,133
82722,秀荣县,女,有相关经验,全日制,本科,文学,13,<10,早期创业公司,3,31
17988,欢市,其他,有相关经验,非全日制,博士,工程学,19,50-99,公共部门,>4,217
18402,天津县,女,无相关经验,非全日制,高中,无主修,13,10-49,公共部门,从未,116
16702,惠州市,女,有相关经验,全日制,本科,哲学,19,50-99,私营公司,3,129
23559,桂芝市,女,有相关经验,全日制,专科,医学,<1,10-49,私营公司,3,102
69622,六安市,男,无相关经验,无,本科,其他,20,10-49,其他,>4,169
51398,通辽县,男,无相关经验,非全日制,高中,教育学,16,<10,公共部门,2,63
46471,东莞县,男,有相关经验,非全日制,硕士,理学,12,1000-4999,早期创业公司,4,236
49109,婷市,男,无相关经验,无,博士,工程学,19,10-49,融资创业公司,>4,301
33494,沈阳市,男,无相关经验,全日制,硕士,哲学,17,10000+,融资创业公司,3,255
